"문제","답과 해설 (간단한 HTML 사용 가능)"
"1. R에서 실수 나눗셈, 몫, 나머지 연산자를 예시와 함께 설명하시오.","정답: / (실수 나눗셈), %/% (몫), %% (나머지).<br>예: 10/3=3.333..., 10%/%3=3, 10%%3=1"
"2. x <- c(1,2,3,4,5,6,7)에서 결과가 4 5 6 7이 되도록 []를 채우시오.","정답: x[x >= 4]"
"3. x <- 3, y <- 5 일 때 (x < 4) & (y < 4)의 결과는?","정답: FALSE<br>해설: TRUE & FALSE = FALSE."
"4. 반복문으로 1~100 합을 구하는 R 코드를 작성하시오.","정답 예시:<br><code>s <- 0; for(i in 1:100){ s <- s + i }; s</code><br>결과: 5050"
"5. 주어진 12개 값에서 50 이상/50 미만 개수를 구하시오.","정답: 50 이상 10개, 50 미만 2개<br>해설: length(v[v>=50]), length(v[v<50])."
"6. 고수준 그래프 함수와 저수준 그래프 함수를 설명하시오.","정답: 고수준은 그래프 틀을 한 번에 생성(plot, barplot, hist 등), 저수준은 이미 생성된 그래프에 요소를 추가(lines, points, text 등)."
"7. par() 함수의 역할을 설명하시오.","정답: 그래픽 파라미터 설정 함수. 레이아웃(mfrow), 여백(mar), 글자 크기(cex), 색(col) 등을 제어한다."
"8. 세계 스마트폰 판매 현황 값으로 막대그래프를 작성하시오.","정답 코드 예시:<br><code>barplot(quantities, names.arg=manufacturers, main='세계 스마트폰 판매 현황', col='skyblue', ylab='수량')</code><br><b>오류 보정:</b> 원문 데이터는 Samsung=2090, 나머지는 소수 비율(0.xxx)로 단위가 혼합되어 그래프 왜곡이 발생한다. 비교를 위해서는 단위를 통일(예: 0.209,0.158,...)해야 한다."
"9. 같은 값으로 선그래프를 작성하시오.","정답 코드 예시:<br><code>plot(quantities, type='o', col='red', xaxt='n', main='세계 스마트폰 판매 현황', xlab='제조사', ylab='수량'); axis(1, at=1:6, labels=manufacturers)</code><br>해설: x축 라벨을 수동 지정한다."
"10. 같은 값으로 파이차트를 작성하시오.","정답 코드 예시:<br><code>pie(quantities, labels=manufacturers, main='세계 스마트폰 판매 현황', col=rainbow(length(quantities)))</code><br>해설: 범주 비중을 직관적으로 보여준다."
