"문제","답과 해설 (간단한 HTML 사용 가능)"
"1. 빅데이터를 정의하고 3가지 특성(3V)을 설명하시오.","정답: 빅데이터는 전통적 처리 방식으로 다루기 어려운 대규모·고복잡 데이터.<br>3V: Volume(규모), Variety(다양성), Velocity(속도).<br>해설: 확장 개념으로 Veracity/Value를 더해 5V로도 설명한다."
"2. 정형·반정형·비정형 데이터를 설명하시오.","정형: 고정 스키마(표/관계형 DB).<br>반정형: 완전 고정 스키마는 아니지만 구조/태그 존재(JSON/XML).<br>비정형: 고정 구조 없음(텍스트, 이미지, 영상 등).<br>해설: 구조가 느슨할수록 저장·분석 전략이 달라진다."
"3. 정형 데이터 분석 기법인 기술통계 분석, 데이터마이닝을 약술하시오.","기술통계: 평균/분산/빈도 등으로 데이터 특성을 요약.<br>데이터마이닝: 대규모 데이터에서 패턴·규칙을 찾아 예측/의사결정에 활용(분류, 군집, 연관규칙 등)."
"4. 비정형 데이터 분석 기법인 텍스트마이닝, 오피니언마이닝, 소셜네트워크분석을 약술하시오.","텍스트마이닝: 텍스트에서 정보 추출.<br>오피니언마이닝: 감정/의견 극성 분석.<br>소셜네트워크분석: 노드-엣지 관계로 중심성·영향력·커뮤니티 분석."
"5. 정보 시각화, 과학적 시각화, 인포그래픽을 설명하시오.","정보 시각화: 복잡한 정보를 도표로 이해 쉽게 표현.<br>과학적 시각화: 실험/관측의 수치 현상을 물리·공간적으로 표현.<br>인포그래픽: 정보 전달 목적의 디자인 결합 시각화."
"6. 빅데이터 분석 인프라 기술인 하둡을 설명하시오.","정답: 분산 저장(HDFS)과 분산 처리(MapReduce 생태계)를 위한 오픈소스 플랫폼.<br>해설: 대용량 데이터를 여러 노드에 나눠 저장/처리해 확장성과 장애 내성을 확보한다."
"7. 빅데이터 분석 인프라 기술인 R을 설명하시오.","정답: 통계 계산·시각화에 특화된 오픈소스 언어/환경.<br>해설: 패키지 생태계(CRAN)가 강력해 데이터 분석·모델링·리포팅에 널리 쓰인다."
"8. NoSQL을 설명하시오.","정답: 관계형 SQL만으로 제한하지 않고 다양한 데이터 모델(문서, 키-값, 컬럼, 그래프)을 사용하는 DB 계열.<br>해설: 수평 확장과 유연 스키마에 강점이 있으나 트랜잭션·조인 전략은 제품별 차이가 크다."
"9. R의 탄생 및 발전 과정을 설명하시오.","정답 요점: S 언어 계보를 바탕으로 1990년대 초 개발, 이후 오픈소스로 성장.<br>해설: CRAN 중심의 패키지 문화가 발전 동력을 제공했다."
"10. R의 특징을 설명하시오.","정답 요점:<br>1) 오픈소스<br>2) 통계 분석 함수 풍부<br>3) 시각화 강력<br>4) 패키지 확장성 큼<br>5) 인터랙티브 분석에 적합"
