"문제","답과 해설 (간단한 HTML 사용 가능)"
"1. 생성형 AI 정의로 옳은 것은? ① 요약 기술 ② 대규모 학습으로 새 콘텐츠 생성 ③ 명령어 기반 예측모델 생성 ④ 텍스트 분류/오류 제거","정답: ②<br>해설: 생성형 AI는 학습 분포를 바탕으로 새로운 샘플(텍스트/이미지 등)을 만든다."
"2. GAN의 구성 요소는? ① 인코더/디코더 ② 생성자/판별자 ③ 입력/출력 레이어 ④ 트랜스포머/LSTM","정답: ②<br>해설: 생성자(G)와 판별자(D)가 적대적으로 학습한다."
"3. DALL·E 응용 분야가 아닌 것은? ① 광고디자인 ② 게임캐릭터 생성 ③ 데이터 암호화 ④ 디지털 아트","정답: ③<br>해설: 데이터 암호화는 이미지 생성형 AI의 대표 응용이 아니다."
"4. ChatGPT의 교육 분야 활용으로 가장 적절한 것은? ① 성적예측 ② 알고리즘 설계도구 ③ 에세이/문제풀이 지원 ④ 실시간 수업 진행","정답: ③<br>해설: 질의응답, 글쓰기 지원, 개념 설명 등 학습 보조에 강점이 있다."
"5. LLM이 텍스트 생성에 강한 이유는? ① 이미지 학습 활용 ② 제한 데이터 학습 ③ 대량 텍스트 학습과 문맥 반영 ④ 분류알고리즘 중심","정답: ③<br>해설: 대규모 언어 패턴 학습으로 문맥 일관성을 높인다."
"6. 생성형 AI 발전의 사회문제로 가장 적절한 것은? ① 데이터 비용 증가 ② 상업적 활용 제한 ③ 딥페이크 허위정보 ④ 생산성 저하","정답: ③<br>해설: 허위 영상/음성 생성은 신뢰 붕괴와 피해를 유발한다."
"7. DALL·E와 MidJourney 공통 기능은? ① 텍스트 생성 ② 텍스트 프롬프트 기반 이미지 생성 ③ 번역 제공 ④ 게임 동영상 자동 생성","정답: ②<br>해설: 텍스트-투-이미지 생성이 핵심 공통점이다."
"8. 생성형 AI와 전통적 AI의 차이를 설명하시오.","모범 요점:<br>생성형 AI: 데이터 분포를 학습해 새 콘텐츠를 생성.<br>전통적 AI: 분류/예측/의사결정 중심(기존 레이블·규칙 기반 처리).<br>해설: 핵심 차이는 출력 형태(새로운 생성물 vs 기존 범주 판단)다."
"9. 생성형 AI 활용 산업 3가지와 역할을 설명하시오.","예시 정답:<br>교육: 맞춤 설명, 과제 초안, 질의응답.<br>광고/마케팅: 카피·배너·시안 자동 생성.<br>엔터테인먼트: 콘셉트 아트, 시나리오/대사 초안, 음성 합성.<br>해설: 공통 효과는 제작 속도 향상과 아이디어 탐색 비용 절감."
"10. GAN의 작동 원리와 생성자/판별자 역할을 비교하시오.","정답 요약:<br>GAN은 G가 가짜 데이터를 만들고 D가 진짜/가짜를 구분하며 경쟁 학습한다.<br>생성자: 판별자를 속이도록 샘플 품질 향상.<br>판별자: 위조를 식별하도록 경계 학습.<br>결과: 반복 경쟁으로 사실적인 생성물 품질이 상승한다."
"11. 이미지 생성형 AI가 광고 제작에 어떻게 활용되는지 예시를 쓰시오.","모범 답안:<br>프롬프트로 분위기·타깃·색감을 지정해 다수 시안을 빠르게 생성하고, 이를 포스터/SNS 소재로 변환한다.<br>예: 여름 음료 캠페인에서 청량 배경·제품 중심 시안 다변화."
"12. ChatGPT 같은 텍스트 생성형 AI의 교육 활용을 설명하시오.","모범 답안:<br>학생: 개념 설명, 작문 피드백, 단계별 문제풀이.<br>교사: 퀴즈/수업자료 초안, 토론 주제 생성, 행정 보조.<br>주의: 사실검증과 표절/의존 관리가 필요하다."
"13. 비디오 생성형 AI의 주요 기능과 영화/게임 활용 가능성을 쓰시오.","정답 요점:<br>기능: 텍스트→영상 생성, 이미지 애니메이션화, 편집/스타일 변환, 자동 더빙·자막 결합.<br>영화: 프리비즈, 장면 콘셉트, VFX 초안.<br>게임: 컷신/NPC 애니메이션, 분기형 동적 콘텐츠 제작."
"14. 생성형 AI의 사회·윤리 문제 사례와 해결 방안을 논의하시오.","예시 정답:<br>사례: 평가/대회 부정행위, 허위정보 생성, 저작권 침해.<br>해결: 사용 가이드라인, 출처표시/로그 제출, 평가 방식 개선(구술·과정평가), 탐지 도구 보조 활용.<br>해설: 단속만으로는 한계가 있어 제도+교육+기술의 병행이 필요하다."
"15. LLM 기반 생성형 AI가 텍스트 생성에서 성능이 높은 이유를 설명하시오.","정답 요약:<br>대규모 데이터 사전학습, 트랜스포머 기반 장거리 문맥 처리, 미세조정/RLHF로 사용성 향상.<br>해설: 스케일이 커질수록 언어적 패턴 일반화 능력이 증가한다."
"16. ChatGPT로 소셜 미디어 게시물 3개를 만들 때 품질 평가 기준은?","정답:<br>정확성, 타깃 독자 적합성, 플랫폼 길이 최적화, 후킹/CTA, 법·윤리 점검(허위·저작권), 톤 일관성."
