"문제","답과 해설 (간단한 HTML 사용 가능)"
"1. 튜링 테스트의 주요 목적은? ① 인간처럼 학습 ② 인간과 구별되지 않는 행동 평가 ③ 감정 표현 판단 ④ 창의성 확인","정답: ②<br>해설: 튜링 테스트는 기계가 대화에서 인간과 구별되지 않는지(행동 기준) 평가한다."
"2. 1956년 다트머스 회의의 주요 성과로 옳지 않은 것은? ① 인공지능 용어 탄생 ② AI 연구 공식 출발점 ③ 로봇 3원칙 정의 ④ 기호주의/연결주의 초기 논의","정답: ③<br>해설: 로봇 3원칙은 아이작 아시모프가 SF 문맥에서 제시한 것으로 다트머스 회의 성과가 아니다.<br><b>오류 보정:</b> 원문 답안의 ①은 사실과 맞지 않아 ③으로 수정함."
"3. 불쾌한 골짜기는 언제 발생하는가? ① 인간과 매우 유사하지만 미세한 이질감 ② 전혀 안 닮음 ③ 감정 모방 실패 ④ 논리 오류","정답: ①<br>해설: 유사성은 높은데 완전하지 않아 섬뜩함이 커지는 구간을 의미한다."
"4. 로봇 3원칙 제1원칙은? ① 자기보호 ② 인간에게 해를 입혀선 안 됨 ③ 인간 명령 복종 ④ 존재 유지","정답: ②<br>해설: 제1원칙이 최우선이며 제2·3원칙보다 우선한다."
"5. 딥러닝 설명으로 옳은 것은? ① 머신러닝 상위개념 ② 다층 신경망 기반 ③ 빅데이터 무관 ④ 기호추론 중심","정답: ②<br>해설: 딥러닝은 머신러닝의 하위 영역이며 심층 신경망으로 표현학습을 수행한다."
"6. 알파고의 핵심 기술은? ① 퍼셉트론+전문가시스템 ② 기호주의+논리추론 ③ 딥러닝+강화학습 ④ NLP+검색","정답: ③<br>해설: 정책망/가치망(딥러닝)과 강화학습, 몬테카를로 탐색이 결합되었다."
"7. 퍼셉트론 초기 한계의 핵심 이유는? ① 느린 처리속도 ② 다층학습 부족 ③ XOR 미해결 ④ 빅데이터 불필요","정답: ③<br>해설: 단층 퍼셉트론은 선형 분리 문제만 다룰 수 있어 XOR를 해결하지 못했다."
"8. 생성형 AI 특징으로 옳지 않은 것은? ① 텍스트/이미지/음악 창작 ② 대규모 데이터 학습 ③ 감정 표현과 논리적 사고 가능 ④ 입력 기반 생성","정답: ③<br>해설: 감정 표현은 모사 결과이며 실제 감정/인간형 사고를 의미하지 않는다."
"9. 빅데이터가 AI 발전에 기여한 방식으로 적절한 것은? ① 오류 감소 자체 ② 딥러닝 훈련 데이터 제공 ③ AI 구조 설계 ④ 기호주의 성공","정답: ②<br>해설: 대규모 학습데이터 공급이 현대 딥러닝 성능 향상에 핵심 역할을 했다."
"10. AI 정의의 4관점(인간처럼 사고/행동, 합리적 사고/행동)을 설명하시오.","모범 요점:<br>• 인간처럼 사고: 인간 인지과정 모형화(인지모델)<br>• 인간처럼 행동: 튜링 테스트 관점의 인간 유사 상호작용<br>• 합리적으로 사고: 논리적으로 타당한 추론<br>• 합리적으로 행동: 목표 달성 확률을 높이는 행위 선택(합리적 에이전트)<br>해설: 현대 AI 평가는 보통 합리적 행동 관점이 실용적으로 많이 쓰인다."
"11. 전문가 시스템이 1980년대에 인기였던 이유와 한계를 사례로 설명하시오.","모범 요점:<br>이유: 규칙 기반(if-then)으로 전문가 지식을 명시화해 의사결정 자동화 기대가 컸음.<br>한계: 지식획득 병목, 예외 처리 취약, 규칙 유지보수 비용, 책임소재 문제.<br>사례: MYCIN은 성능 잠재력에도 임상 도입에서 법/윤리/통합 이슈가 컸다."
"12. 불쾌한 골짜기 이론과 대표 사례 2가지를 제시하시오.","모범 요점:<br>이론: 인간 유사성이 증가하다가 특정 구간에서 호감이 급락.<br>사례1: 과도하게 사실적인 CG 인물에서의 이질감(예: 일부 모션캡처 영화 캐릭터).<br>사례2: 인간형/동물형 로봇의 부자연스러운 움직임에 대한 거부감 반응."
"13. 사회적 문제 사례 1개와 해결 방안을 제시하시오.","예시 답안:<br>문제: 온라인 평가/대회에서 생성형 AI 무단 사용으로 공정성 저해.<br>대응: 규정 명문화, 로그 기반 사후 검증, 구술·오프라인 평가 병행, 과정 중심 평가 확대.<br>해설: 기술 탐지 단독보다 평가 설계 자체를 바꾸는 접근이 효과적이다."
"14. LLM이 텍스트 생성에서 강한 이유를 설명하시오.","정답 요점:<br>대규모 말뭉치 사전학습 + 문맥 기반 다음 토큰 예측 + 전이학습/미세조정으로 일반화 성능이 높다.<br>해설: 파라미터 규모, 데이터 규모, 계산량의 스케일링 법칙이 성능 향상을 뒷받침한다."
"15. ChatGPT를 활용해 소셜 미디어 게시물 3개를 생성하라는 과제의 핵심 평가 포인트는?","정답 요점:<br>• 프롬프트 적합성(목적·대상·톤)<br>• 사실성 검증(시사/수치 주장 교차검증)<br>• 플랫폼 맞춤 길이와 후킹 문장<br>• 과장·허위·저작권/윤리 이슈 점검<br>해설: 단순 생성보다 검증과 편집 품질이 핵심이다."
"16. (실습) 3개 게시물 생성 결과를 점검할 때 무엇을 확인해야 하는가?","체크리스트:<br>1) 사실오류/환각 여부<br>2) 출처 명시 가능성<br>3) 문체 일관성<br>4) 법적·윤리적 위험(허위정보/명예훼손/저작권)<br>5) 독자 행동 유도 CTA 유무"
