"문제","답과 해설 (간단한 HTML 사용 가능)"
"1. data.csv를 읽어 data 데이터프레임을 생성하시오.","정답: data <- read.csv('data.csv', header=TRUE)"
"2. 품질+가격+서비스+배송 합계 변수를 추가하시오.","정답: data$합계 <- data$품질 + data$가격 + data$서비스 + data$배송<br>해설: 열 단위 벡터 연산으로 행별 합계가 계산된다."
"3. 거주지역(대도시/중도시/소도시)별로 데이터프레임 3개를 생성하시오.","정답:<br>dataSmallCity <- data[data$주거지역=='소도시', ]<br>dataMiddleCity <- data[data$주거지역=='중도시', ]<br>dataBigCity <- data[data$주거지역=='대도시', ]"
"4. 품질/가격/서비스/배송만으로 신규 데이터프레임을 만드시오.","정답: dataGen04 <- data.frame(품질=data$품질, 가격=data$가격, 서비스=data$서비스, 배송=data$배송)"
"5. 3번의 3개 데이터프레임을 하나로 결합하시오.","정답: dataMerged <- rbind(dataSmallCity, dataMiddleCity, dataBigCity)"
"6. 결합 데이터프레임을 소득 내림차순 정렬하시오.","정답: dataMerged <- dataMerged[order(-dataMerged$소득), ]"
"7. apply()로 품질/가격/서비스/배송 평균을 구하시오.","정답 코드: apply(data[, c('품질','가격','서비스','배송')], 2, mean)<br>결과: 품질 5.422222, 가격 4.744444, 서비스 4.900000, 배송 4.455556"
"8. 공공데이터포털 무료 와이파이 자료를 수집하시오.","정답 요점:<br>데이터셋: 행정안전부_무료와이파이정보 CSV 수집 후 지역별 건수 집계.<br>핵심 코드: read.csv() + dplyr::group_by(설치시도명) + summarise(n())."
"9. 네이버 블로그 '맛집' 검색 첫 화면 웹 스크래핑을 수행하시오.","정답 요점:<br>검색 URL 접속 후 제목/링크 추출.<br>핵심 코드: chromote로 렌더 HTML 획득, rvest::html_elements로 title/href 파싱, data.frame으로 정리."
"10. 국토교통부 실거래가 오픈API로 2021-01 서울 강남구 아파트 매매 자료를 수집하시오.","정답 요점:<br>엔드포인트에 serviceKey, LAWD_CD=11680, DEAL_YMD=202101 쿼리 전송 후 응답 파싱.<br>핵심 코드: httr::GET + content() + jsonlite::fromJSON()."
